Date,tx_count,total_fees,active_addresses
2025-03-03,286,0.07198872,572
2025-03-04,341,0.08811484,682
2025-03-05,404,0.11154036,808
2025-03-06,409,0.10632583,818
2025-03-07,354,0.09344666,708
2025-03-08,385,0.09859496,770
2025-03-09,350,0.08974586,700
2025-03-10,353,0.09109989,706
2025-03-11,348,0.09250152,696
2025-03-12,352,0.09397463,704
2025-03-13,386,0.10063976,772
2025-03-14,404,0.10381318,808
2025-03-15,365,0.09072205,730
2025-03-16,357,0.09200905,714
2025-03-17,332,0.08506963,664
2025-03-18,365,0.09180814,730
2025-03-19,386,0.09789943,772
2025-03-20,372,0.0937938,744
2025-03-21,374,0.09106296,748
2025-03-22,348,0.09026718,696
2025-03-23,365,0.09581599,730
2025-03-24,353,0.08782739,706
2025-03-25,340,0.08750914,680
2025-03-26,391,0.09320126,782
2025-03-27,382,0.09820486,764
2025-03-28,341,0.09197655,682
2025-03-29,342,0.08657397,684
2025-03-30,352,0.08877296,704
2025-03-31,350,0.09072522,700
2025-04-01,337,0.08902018,674
2025-04-02,370,0.09335959,740
2025-04-03,343,0.08962654,686
2025-04-04,344,0.08312996,688
2025-04-05,358,0.08907459,716
2025-04-06,334,0.08714858,668
2025-04-07,362,0.08968967,724
2025-04-08,390,0.10244366,780
2025-04-09,345,0.08269882,690
2025-04-10,372,0.10002604,744
2025-04-11,384,0.09849263,768
2025-04-12,375,0.0964765,750
2025-04-13,329,0.0834861,658
2025-04-14,342,0.08484564,684
2025-04-15,353,0.08733651,706
2025-04-16,360,0.08517715000000001,720
2025-04-17,364,0.09760229,728
2025-04-18,344,0.08699745,688
2025-04-19,350,0.09287251,700
2025-04-20,354,0.09488839,708
2025-04-21,339,0.08610803,678
2025-04-22,335,0.08685928,670
2025-04-23,366,0.09405185,732
2025-04-24,337,0.08386332,674
2025-04-25,384,0.1000663,768
2025-04-26,359,0.09451391,718
2025-04-27,383,0.09564557,766
2025-04-28,333,0.08516019,666
2025-04-29,361,0.0960727,722
2025-04-30,356,0.08742363,712
2025-05-01,361,0.0945595,722
2025-05-02,380,0.09822337,760
2025-05-03,370,0.09219142,740
2025-05-04,379,0.09617425,758
2025-05-05,374,0.0993387,748
2025-05-06,350,0.08808554,700
2025-05-07,381,0.09365064000000001,762
2025-05-08,351,0.08743667,702
2025-05-09,359,0.0952602,718
2025-05-10,352,0.08902887,704
2025-05-11,205,0.05414871,410
